id,num_sentences,num_clusters,local_cohesion,num_concepts,num_coh_sentences,num_non_coh_sentences,num_relations,lsa_local,lsa_global,Flesch_Kincaid
10141011,3,2,0.5,22,1,1,164,0.006495342935807499,0.33762831166956864,10.600491803278688
10141012,5,3,0.25,11,1,3,12,-0.01834601807574207,0.09832666346240335,3.8113333333333355
10141021,5,3,0.25,16,1,3,66,0.5275830341905555,0.6320164708878886,6.037463414634148
10141022,5,4,0,7,0,4,5,0.3389483774347226,0.49497859422058266,4.372730158730159
10141031,4,3,0.333333333333,12,1,2,17,0,0,5.381071428571429
10141032,3,3,0,8,0,2,7,0.06866707634742421,0.0457780508982828,7.323846153846157
10141041,5,2,0.25,18,1,3,84,0.018866111615445748,0.0075464446461782995,6.752222222222224
10141042,2,1,1,12,1,0,10,0,0,11.988636363636365
10141051,3,2,0,27,0,2,326,9.079679328418328e-4,0.3338888834862835,10.765714285714287
10141052,7,2,0,11,0,6,4,0.4326836945564721,0.34214995745544147,3.7100332225913615
10141061,3,2,0.5,9,1,1,38,0.013482615783364498,0.008988410522243,5.411666666666671
10141071,7,5,0,31,0,6,435,0.1715627844624014,0.1089222588758462,9.552857142857144
10141072,8,4,0.285714285714,12,2,5,12,-0.3419297490117438,0.02724256668632591,2.64745481927711
10141081,4,2,0,7,0,3,4,0,0,4.073823529411767
10141091,5,1,0.75,20,3,1,142,0.759361760661767,0.4219946196220753,6.761820895522389
10141092,4,2,0.333333333333,9,1,2,7,0.3310981354866523,0.331160361197657,4.419193548387097
10141101,5,4,0,32,0,4,374,0.25,0.4,9.502307692307694
10141102,7,7,0,14,0,6,7,0.16666666666666663,0.04761904761904761,3.8777142857142852
10141111,7,2,0.333333333333,17,2,4,57,0.15778875087512095,0.15163570349210312,5.444797441364608
10141112,7,6,0,9,0,6,1,3.2461483758111754e-15,0.16347817587668706,1.6998901098901111
10141121,7,5,0,20,0,6,49,7.19098350229858e-16,0.1428571428571433,7.438067226890757
10141122,4,2,0.666666666667,8,2,1,5,0.6450424706907669,0.506218498027229,4.265294117647057
10141131,5,3,0.25,25,1,3,311,-0.06417048795921937,0.012934855216293539,6.990615384615387
10141132,8,6,0.285714285714,11,2,5,4,0.281694938427402,0.16707389729618452,2.7075000000000014
10141141,10,5,0.222222222222,14,2,7,9,0.22094118119920664,0.17157965837629496,2.590315789473687
10141142,3,2,0.5,6,1,1,6,0.5000000000000001,0.3333333333333334,3.5802702702702707
10141151,7,6,0,12,0,6,11,0.0963000427928238,0.22109491948183554,7.870000000000003
10141152,8,3,0.285714285714,8,2,5,1,0.31367848033442813,0.28282624696667313,2.3363992537313454
10141161,5,5,0,14,0,4,25,0.49999999999728406,0.5999999999989027,7.715729729729729
10141162,6,5,0.2,11,1,4,5,0.1474389258609236,0.3287852672670201,5.406875000000001
10141171,4,1,1,22,3,0,347,0.3333333333333099,0.49999999999998823,9.663166666666667
10141172,5,3,0.5,10,2,2,7,0.01396476020832355,0.005585904083329421,4.333409836065572
10141181,5,3,0,12,0,4,21,0.4999999999999958,0.6000000000000003,3.5773333333333337
10141182,7,6,0,9,0,6,3,0.3012215503536793,0.25675538462656616,1.0671889400921675
10141192,3,3,0,6,0,2,3,0.5000000000000001,0.3333333333333334,4.726153846153844
10141201,6,5,0.2,23,1,4,27,0.4000000000000001,0.2666666666666667,6.335000000000003
10141202,7,5,0,12,0,6,3,0.12012995160373607,0.2499481682375102,5.531428571428576
10141211,6,4,0.2,20,1,4,25,0.11339625072651796,0.07828538652217615,7.205789473684211
10141212,8,5,0.142857142857,14,1,6,3,0.12597066052162847,0.2591604357601298,4.223170289855075
10141221,4,4,0,15,0,3,26,0,0,5.96561320754717
10141222,6,5,0,11,0,5,6,-0.4,2.960594732333751e-17,2.503245614035089
10142011,4,1,0.666666666667,17,2,1,94,0.8720109270551553,0.6183040768306588,7.89214285714286
10142012,7,3,0.333333333333,8,2,4,6,0.18054727339376617,0.30517922931995906,6.528345864661654
10142021,3,1,0.5,30,1,1,522,0.013266704656617228,0.0184109972196172,9.080000000000004
10142022,2,1,0,8,0,1,12,0,0,6.104736842105266
10142031,4,3,0,17,0,3,13,9.412926775047155e-16,0.16666666666666707,7.096923076923078
10142032,7,5,0,12,0,6,6,7.975812297900244e-19,0.047619047619047616,3.787142857142859
10142041,7,5,0,14,0,6,5,0.09159996512303333,0.1528420680044292,5.463033268101766
10142042,9,4,0.25,14,2,6,11,0.1564994371131659,0.09611372476696954,3.5056118143459916
10142051,13,9,0.166666666667,35,2,10,44,0.26509144212079777,0.13602823778518203,6.296363636363639
10142052,6,4,0.4,18,2,3,16,-0.042957587152496986,0.06473487730117371,4.2005114638448
10142061,6,4,0.2,24,1,4,113,-0.007918879417441856,0.12782084765034793,6.6258219178082225
10142062,8,6,0.285714285714,12,2,5,5,0.1428571428571432,0.21428571428570867,2.157983870967742
10142071,15,3,0.357142857143,32,5,9,65,0.1677300281664369,0.15307083731903715,7.182888888888888
10142072,11,9,0,17,0,10,4,0.0999999999999961,0.19999999999999862,2.6812814895947437
10142081,8,7,0,17,0,7,20,4.15961769418864e-34,0.038941099653233044,3.026068840579713
10142082,3,3,0,8,0,2,5,0.028809795258309026,0.019206530172206016,5.6414285714285715
10142091,9,8,0,16,0,8,13,-2.0226913201328972e-17,0.1111111111111111,4.757708333333335
10142092,3,2,0,15,0,2,46,2.581220791501635e-17,0.00426503630523607,9.198125
10142101,9,1,0.375,15,3,5,30,0.35391887119974397,0.3299906087623491,8.065942028985509
10142102,11,7,0.1,11,1,9,5,0.34356403557665116,0.3552543142360837,1.0204452054794526
10142111,6,4,0,15,0,5,26,0.22274463712662324,0.17194226568265145,4.175714285714287
10142112,3,2,0,6,0,2,2,0.039142296049498274,0.05279636987964759,3.7475000000000005
10142121,5,2,0.25,17,1,3,34,0,0,6.236352941176468
10142122,5,4,0,12,0,4,8,0.2743769994957182,0.10975079979828728,3.622727272727273
10142131,3,2,0.5,13,1,1,40,0.015905869660249008,0.010603913106832672,7.567959183673471
10142132,3,1,1,13,2,0,13,0.5060745151924949,0.33474743864149564,9.357222222222225
10142161,6,4,0,14,0,5,40,0.005910082539267301,0.13217422541756726,5.267727272727273
10142162,3,2,0,12,0,2,16,0,0.007826799788899904,4.45047619047619
10142171,2,2,0,22,0,1,180,0,0,16.503666666666668
10142172,7,3,0.333333333333,12,2,4,12,0.5289611624741514,0.36776428248636456,5.249120879120879
10142181,13,6,0.25,34,3,9,78,0.05254561707102939,0.04545361808718471,6.805151515151513
10142182,11,6,0.2,16,2,8,7,0.09643624554552646,0.10817241116803111,3.21783759929391
10142191,5,4,0.25,17,1,3,94,0.5,0.3,4.963818181818182
10142192,9,7,0.125,10,1,7,3,0.13032141340643724,0.16490220928923027,3.197654320987658
10142201,8,2,0.428571428571,34,3,4,306,0.18029875705693427,0.2056495112348517,7.512287234042555
10142202,8,5,0,18,0,7,17,0.15846790227918076,0.1548114911584534,5.378244680851067
10142211,4,3,0.333333333333,22,1,2,156,0.031385149048112876,0.015692574524056438,9.468079710144925
10142212,6,4,0.4,13,2,3,9,0.37954509252657287,0.2266005474389983,6.512741935483872
10142221,8,3,0.428571428571,24,3,4,66,0.42603622304317434,0.14842875626588498,6.256968085106381
10142222,7,3,0.333333333333,15,2,4,15,0.5823182295400751,0.5011462238936912,5.516305418719211
10142231,4,2,0.333333333333,26,1,2,29,0.3419533627576421,0.17015034888291347,10.77638888888889
10142232,7,4,0.166666666667,15,1,5,11,0.4482291131008645,0.3670554060079145,4.192063492063491
10142241,7,7,0,21,0,6,70,0.41823796493834164,0.41419011647790044,7.76064935064935
10142242,8,6,0.142857142857,10,1,6,4,0.6679709436205863,0.5424416971363027,3.1970833333333335
10142251,7,5,0,19,0,6,28,0,0.003862565185740023,5.68217798594848
10142252,3,1,0.5,8,1,1,16,0.24852511218820897,0.1656834081254727,7.242830188679244
10142261,5,2,0.5,10,2,2,10,-5.6020574510582724e-37,0.10000000000000002,4.992000000000003
10142262,5,3,0.25,11,1,3,5,0.5000000000000001,0.20000000000000004,4.210750000000003
10261021,4,2,0.333333333333,7,1,2,7,0.35909145579315704,0.17423868450109103,5.148653846153847
10261022,6,3,0.2,12,1,4,7,0.2138923525060879,0.21947388284736177,5.642727272727273
10261031,6,2,0.2,20,1,4,59,0.0467777399573047,0.1921969947235813,8.714924812030075
10261032,6,5,0,12,0,5,12,0.17617143339861674,0.1767597095388725,3.275506329113922
10261041,8,3,0.285714285714,30,2,5,107,0.15142269044156795,0.3505102139927779,7.079440366972479
10261042,9,4,0.25,14,2,6,9,0.375,0.2777777777777778,2.316666666666668
10261051,13,4,0.333333333333,23,4,8,116,0.21914305486720562,0.12115336528471485,5.722397660818713
10261052,7,4,0.166666666667,10,1,5,9,0.03413329395466625,0.13261857460087836,5.499020866773678
10261061,4,4,0,16,0,3,86,0.010411584125907085,0.0052057920629535424,7.057631578947371
10261062,2,2,0,9,0,1,6,0,0,4.8380303030303065
10261071,4,3,0.333333333333,22,1,2,129,-6.937572775429836e-20,0.16666666666666666,7.4573360655737755
10261072,6,3,0.2,16,1,4,18,0.20000000000000026,0.4037350258799747,5.217278481012658
10261081,5,4,0.25,10,1,3,9,0.24999999999999997,0.09999999999999999,3.9521904761904754
10261082,8,3,0.285714285714,16,2,5,13,0.4057264937837914,0.24975291043323064,4.459254385964913
10261091,3,3,0,10,0,2,9,0.49999999999999994,0.3333333333333333,7.92897435897436
10261092,6,4,0.2,13,1,4,9,0.23382061793688003,0.20845374366320474,3.964146341463417
10261101,6,1,0,28,0,5,52,0,0.0034955300799304205,10.700730337078655
10261102,3,1,0.5,15,1,1,19,0.4044918113112074,0.4637961164157851,8.210634920634922
10261111,4,1,0.666666666667,26,2,1,77,0.322476129945897,0.49197993323287165,12.100441176470587
10261112,3,1,1,8,2,0,7,0.0546338906199471,0.04660647654112182,8.70857142857143
10261121,6,5,0,16,0,5,13,0.01194051141105762,0.00398017047035254,6.090000000000002
10261122,3,2,0,6,0,2,4,0.014418272117460605,0.009612181411640403,6.123061224489797
10261131,7,1,0.666666666667,14,4,2,36,0.5420267873422678,0.36018751810403593,7.3242857142857165
10261132,3,3,0,14,0,2,27,0,0,8.611794871794872
10261142,3,1,1,7,2,0,8,0.03630052289244764,0.02420034859496509,3.5163829787234047
10261151,12,7,0,20,0,11,10,0.16498132741296181,0.0511357618848887,5.32044117647059
10261152,7,2,0.333333333333,7,2,4,7,0.5509213215994081,0.26615489753798166,4.104105534105537
10261161,15,7,0.142857142857,44,2,12,75,0.0021442740677094486,0.04988255232744276,5.315478723404256
10261162,8,4,0.285714285714,20,2,5,18,0.12609315853105185,0.2788399038990001,4.614940476190478
10261171,14,6,0.307692307692,38,4,9,61,0.13187720080971652,0.16207439961078038,6.6634285714285735
10261172,3,1,1,10,2,0,12,0.5016450996668365,0.29739781119952363,9.397499999999999
10261181,5,3,0.25,13,1,3,15,0.05871206556217426,0.11349406936609205,5.502000000000001
10261191,7,3,0.166666666667,16,1,5,49,0.15549766512509594,0.13026647506742686,6.109159663865546
10261192,10,5,0.222222222222,14,2,7,11,0.1487410191022503,0.04461546826054464,3.3547272727272723
10261201,14,8,0.0769230769231,36,1,12,72,0.3316826865130676,0.16509823705959192,7.734175824175827
10261202,10,5,0.222222222222,18,2,7,11,0.10614679288254505,0.09880939773094333,2.4961974584555247
10261211,6,4,0,19,0,5,16,0,0.06666666666666667,5.337666666666669
10261212,4,4,0,13,0,3,12,0.05637508346038989,0.19692872717414733,5.226626984126986
10261221,5,2,0.5,8,2,2,11,0.5137781189980275,0.3275188946284069,3.6235238095238085
10261222,2,1,1,8,1,0,12,0,0,20.41527027027027
10261231,7,4,0.166666666667,32,1,5,93,0.11223633367361352,0.16756875785078368,10.235916305916307
10261232,6,4,0.4,15,2,3,13,0,0.009609853914807984,5.50091549295775
