id;text
10141012;Fange ein Stück weiter vom Schildkrötenbucht an. Dann geht ihr am Mammutbaum vorbei dann kommt ihr zu den Kanus. Dann gehst du zu dem Wegweiser. In der Drachenhöhle ist der Schlüssel. Dann geht’s weiter Steinenge dann bis zum Zelt und dann ein Stück weiter am Schiffswrack ist der Schatz vergraben.
10141032;O ist der Startpunkt dann muss man geradeaus bis zum Kanus paar Stückchen weiter und rechts abbiegen wieder geradeaus bis zum Wegweiser und zur Drachenhöhle da ist der Schlüssel und dann links abbiegen dann geradeaus bis Bootssteg und geradeaus.
10141022;Also du gehst geradeaus einen großen Bogen nach links dann nach rechts dann stehen dort zwei Kanus. Du segelst damit über den See dann nach links. Dann bist du beim Wegweiser dann biegst du ab, da ist die Drachenhöhle dort liegt der Schlüssel drinnen. Dann nach rechts jetzt geradeaus. Dann biegst du nach links ab und da das X ist der Schatz vergraben.
10141042;Startpunkt beim großen O am Kanus vorbei dann. Neben dem Wald voller Wölfe langlaufen und dann in die Drachenhöhle den versteckten Schlüssel finden am Wegweiser vorbei und zur Steinenge vorbei und zunächst am Zelt vorbei und dann zum Schiffswrack und dann habt ihr den Schatz gefunden mit dem Schatz könnt ihr machen was ihr wollt.
10141052;Zuerst müsst ihr nach Westen gehen bis zur zweiten Kreuzung. Dort müsst ihr nach Norden bis zum Wegweiser gehen. Anschließend müsst ihr nach Osten gehen und den Weg vor der Brücke einbiegen und dem Weg bis zum Ende folgen dort liegt der Schlüssel zum Schatz. Dann müsst ihr wieder bis zum Wegweiser zurück und dann nach Norden ziehen bei der nächsten Kreuzung müsst ihr nach Westen ziehen, so lange bis ihr zu einem halb versenkten Schiff kurz davor müsst ihr suchen weil dort der Schatz ist.
10141062;Zum Schildkrötenbucht zum Mammutbaum zu den Kanus zum Sandstrand zum Wald zum Wegweiser zur Drachenhöhle zum Wegweiser zur Steinenge und zum Schiffswrack.
10141072;Es geht von den Meer los. Dann geht ihr zum Kanus vom Kanus weiter zum Wald voller Wölfe und zwar dann links dann seht ihr irgendwann ein Wegweiser dann guckt ihr wo Drachenhöhle steht da liegt der Schlüssel. Dann geht ihr zurück zum Wegweiser. Dann guckt ihr wo Steinenge steht. Von da aus geht ihr rechts zum Zelt und dann ist im Meer ein sehr sehr altes Schiffswrack. Und da drinnen liegt der Schatz Genau den gleichen Weg müsst ihr zurück gehen.
10141092;Mein Junge du findest den Schatz wenn du die Brücke überquerst Kanus. Dann musst du zur die Wäldern und danach musst du den Drachen besiegen um den Schlüssel um den Schatz zu öffnen. Und dann musst den Steinberg durch und dann siehst du ein Zelt wenn du müde bist kannst du dich hinlegen und dich auszuruhen und gehst dann zu den Schatz.
10141102;Ihr startet an der Schildkrötenbucht. Geht vorbei an dem Mammutbaum. Weiter entlang an den Kanus am Wald voller Wölfe. Am Wegweiser entlang. In der Drachenhöhle ist dann der Schlüssel. Dann folgt ihr dem Weg bis zur Steinenge und biegt ab in Richtung Zelt. Beim Schiffswrack ist dann der Schatz verborgen.
10141112;Zuerst müsst ihr am Schildkrötenbucht sein dann lauft ihr immer weiter bis ihr die Kanus seht. Dann biegt ihr links ab dann geht ihr weiter bis zum Wegweiser dann müsst ihr zur Drachenhöhle da findet ihr den Schlüssel. Dann geht ihr zum Steinenge. Dann müsst ihr zum Zelt das liegt da ganz vorne das sieht ihr das Schiffswrack da habe ich den Schatz vergraben.
10141122;Da wo das O ist müsst ihr links abbiegen dann müsst ihr wieder links über den See und wenn ihr drüben seid geht ihr den Weg hoch dann seht ihr eine Höhle eine Drachenhöhle da liegt der Schlüssel dann wenn ihr den Schlüssel habt geht ihr weiter geradeaus dann biegt ihr links ab dann geht ihr ein kleines Stück geradeaus dann geht ihr zwei Schritte geradeaus und dann
10141132;Ihr müsst an der Schildkrötenbucht anlegen. Dann geht ihr nach links bis zum Mammutbaum. Dort geht ihr nochmal links über den Fluss jetzt rechts vorbei am Wald voller Wölfe. Nun geht ihr rechts in die Drachenhöhlen und dort holt den Schlüssel. Wenn ihr aus der Drachenhöhle rauskommt geht ihr rechts durch die Steinenge. Vorbei am Bootssteg. Zum Schiffswrack. Dort findet ihr den Schatz.
10141142;Zur Schatztruhe hinzugelangen müsst ihr über die Kanus fahren. Dann müsst ihr in die Drachenhöhle. Danach biegt ihr über die Steinenge ab und dann bei den Zelt geht ihr noch sechs Schritte und dann seid ihr da.
10141152;Du biegst links ab und danach gehst du durch den Wald dann gehst du links zu den Kanus. Und danach gehst du durch den Wald voller Wölfe. Nun gehst du rechts und dann geradeaus zum Wegweiser danach rechts zur Drachenhöhle nun gehst aus der Drachenhöhle raus und gehst zum Steinenge. Jetzt gehst du links und danach geradeaus. Zuletzt gehst du dann zum Zelt. Nun rechts zum Schatz.
10141162;Von der Schildkrötenbucht nach links. Dann rechts entlang bis eine Kreuzung. Dann wieder links zum Kanus entlang. Nun geradeaus und dann rechts beim Wald voller Wölfe dann gerade rechts zum Wegweiser und so geradeaus zur Kreuzung dann links bis zum Bootssteg immer weiter geradeaus und ein Stückchen nach rechts zum Schiffswrack. Und da ist irgendwo am Strand beim Schiffswrack der Schatz vergraben
10141172;Der vergrabene Schatz Zuerst muss man an der Schildkrötenbucht vorbei dann muss man ein bisschen gehen und dann mit ein Kanu über den Fluss. Wenn man über den Fluss ist muss man an den Wald voller Wölfe vorbeigehen bis zum Wegweiser. Danach muss man zur Drachenhöhle um den Schlüssel zu holen. Als nächstes muss man mit den Schlüssel an den der Stein.
10141182;Also du fängst beim Osten da fängst an dann gibt es Bäume links. Dann über den Fluss dann links abbiegen dann weiter geradeaus. Dann gehst du zum Drachenhöhle da befindet der Schlüssel vom Schatz. Dann gehst raus dann gehst du nach rechts dann sind links Steine. Dann gehst nach links wo das Schiff ist da in Sand ist der Schatz.
10141192;In der Schildkrötenbucht müsst ihr stoppen und bis Mammutbaum gehen. Dann müsst ihr den Kanus überqueren. Dann bei der Wald voller Wölfe rechts abbiegen und bis Drachenhöhle
10141202;Du musst an der Schildkrötenbucht an Land gehen nun geradeaus auf den Mammutbaum zu und dann links abbiegen. Anschließend über einen Fluss dann rechts abbiegen an dem Wald voller Wölfe vorbei. Danach geradeaus und am Wegweiser rechts und direkt wieder links. Dann in die Drachenhöhle gehen da liegt der Schlüssel nun rechts abbiegen bis zu den Steinen gehen dann links nun geradeaus. Dann vor dem Wrack im Sand graben.
10141212;An der Insel ganz im Süden zwischen Papageienbaum und der Schildkrötenbucht müsst ihr anlegen. Dann den Weg nach links folgen am Mammutbaum links. Am Wald voller Wölfe rechts. Beim Wegweiser nach rechts und sofort wieder links in die Drachenhöhle dann wieder zurück zum Wegweiser. Nun müsst ihr nach rechts zur Steinenge bei der Steinenge links zum Zelt. Dann müsst ihr gegenüber zum Schiffswrack daneben ist der Schatz vergraben.
10141222;Kinder ihr müsst zum Mammutbaum der ist der größte Baum dann müsst ihr mit den Kanus über den Fluss dann müsst ihr beim Wald rechts abbiegen bis zur Drachenhöhle und dann wieder rechts dann links und dann immer geradeaus bis zum Schiffswrack da am Strand ist der Schatz versteckt Passt gut auf die Anweisung auf. Tschüss Kinder.
10142012;Du musst zur Schildkrötenbucht. Wenn du den Papageienbaum siehst dann bist du richtig. Dann musst du von richtigen Steinweg die ersten fünfzig Kilometer geradeaus. Von den Kanus musst du zweihundert oder dreihundert Meter musst du wieder geradeaus. Danach musst du in die Drachenhöhle. Und da findest du den Schlüssel. Von der Drachenhöhle musst du fünfundzwanzig Meter geradeaus.
10142022;Ihr müsst vom Startpunkt bis zum Mammutbaum dann links über den Kanus dann rechts bis zum Wegweiser dann in die Drachenhöhle den Schlüssel holen raus bis zur Einenge dann links bis zum Zelt dann rechts du bist da.
10142032;Kinder wisst ihr was ich war mal Pirat. Und habe ein Schatz vergraben. Ich wollte den Weg beschreiben Zuerst geht ihr an Wald vorbei dann muss man einen Fluss vorbei dann an einen Wald voller Wölfe. Dann zur Drachenhöhle den Schlüssel holen. Danach gehst du geradeaus und links dann am versunkenen Schiff vorne im Sand. Viel Glück Kinder.
10142042;Lieber Sohn Ich habe auf einer Insel einen Schatz vergraben. Wenn du in der Schildkrötenbucht anlegst bist du richtig. Dann gehst du in Richtung Mammutbaum und dann links. Du überquerst den Kanus und gehst bei der nächsten Gabelung rechts und von dort bis zur Drachenhöhle geradeaus. Dort habe ich dir einen Schlüssel versteckt. Wenn du rauskommst gehst du rechts in Richtung Steinenge. Dann links. Beim Zelt verlässt du den Weg und gehst zum Wrack. Dort ist der Schatz vergraben.
10142052;Liebe Kinder fahrt in den Süden von euch gesehen dort ist die Schildkrötenbucht. Nun lege an und gehe geradeaus dort kommt eine Fluss mit Kanus. Fahre mit dem Kanu auf die andere Seite der Bucht. Jetzt gehe geradeaus und bei der nächsten Mündung biege in den Osten weiter geradeaus sind Berge mit Kreuzen dort in der Erde ist der Schlüssel vergraben. Jetzt gehst du immer weiter geradeaus bis zum Schiffswrack dort in der Erde liegt der Schatz Liebe Grüße Piratin P.
10142062;Das O ist der Start. Dann müsst ihr an der Schildkrötenbucht vorbei. Jetzt braucht ihr die Kanus über den See zu kommen. Jetzt müsst ihr an den Wald voller Wölfe dran vorbei. In der Drachenhöhle befindet sich der Schlüssel. Dann müsst ihr euch durch die Steinengen durchquetschen. Als letztes müsst ihr an den Zelten vorbei. Dann seid ihr endlich beim Schatz angelangt.
10142072;Liebe Kinder, an der Schildkrötenbucht ankert ihr. Dann geht ihr Richtung Westen. Mit den Kanus könnt ihr den Fluss überqueren. Wenn ihr am Wald voller Wölfe ankommt biegt ihr rechts ein immer weiter bis zum Windrad. Dort geht ihr in die Drachenhöhle. Da könnt ihr den Schlüssel finden. Wenn ihr wieder rauskommt geht ihr rechts bis zu den Steinengen. Dort biegst du links ab am Bootssteg und am Zelt vorbei bis zum Schiffswrack. Dort biegt ihr ab. Hier liegt der Schatz. Euer Kapitän
10142082;Wenn ihr ankommt seid müsst ihr links und bei dem Mammutbaum wieder dann über den Fluss und rechts wenn ihr beim Wegweiser seid liegt in der Drachenhöhle der Schlüssel wenn ihr den geholt habt müsst ihr geradeaus links an den Felsen vorbei und zum Schiffswrack dort ist der Schatz.
10142092;Liebe Kinder ich erkläre euch den Weg zum Schatz Ihr fangt an der Schildkrötenbucht an. Dann geht ihr Richtung Westen danach Norden nun wieder Westen an der Mammutbaum vorbei über den Kanus dann nach Norden an den Wald voller Wölfe vorbei dann nach Osten in der Drachenhöhle den Schlüssel holen dann wieder raus weiter nach Norden dann nach Westen zur der Schiffswrack und da ist der Schatz.
10142102;Als erstes müsst ihr zur Schildkrötenbucht. Dann geht ihr zum O. Danach geht ihr geradeaus. Zunächst geht ihr über den Fluss Kanus. Jetzt geht ihr nach links. Dann weiter. Dann geht ihr zur Drachenhöhle und sucht da den Schlüssel. Danach wenn ihr aus den Höhle draußen seid seht ihr ein Wegweiser. Jetzt geht ihr geradeaus dann links. Danach müsst ihr dann zum Zelt. Dann geht ihr zum Schiffswrack. Und da liegt der Schatz.
10142112;Du musst an der Schildkrötenbucht vorbei. Dann musst du von Kanus geradeaus gehen bis du beim Wald voller und Wölfe kommst. Dann zum Schiffswrack vorbei und dann bist du beim Schatz.
10142122;Hallo ihr müsst am Startpunkt Schildkrötenbucht nach links abbiegen. Bis ihr beim Kanus seid da müsst ihr hoch rüber gehen und klettert hinauf. Dann geht ihr Wald voller Wölfe vorbei und buddelt in der Drachenhöhle den Schlüssel aus. Danach geht ihr zum Steinenge vorbei nach dem Zelt fünfzehn Schritte den Schatz aus viel Glück.
10142132;Meine lieben Kinder wenn ihr bei der Schildkrötenbucht seid dann geht ihr zum kleinen Wald. Dann fahrt ihr mit den Kanus über den Fluss danach geht ihr zum Wald voller Wölfe dann zum Wegweiser dann zur Drachenhöhle da ist der Schlüssel versteckt wenn ihr ihn gefunden habt geht ihr zum Wegweiser zurück und geht dann zur Steinenge am Bootssteg vorbei und bei den Zelten auch vorbei dann bist du beim Ziel angekommen
10142152;Mein Kind du musst zur Schildkrötenbucht den ersten Bäumen lang an den Kanus vorbei am Wald voller Wölfe vorbei in die Drachenhöhle den Schlüssel holen raus den Wegweiser lang lang zum Zelt und dann würdest du an ein Schiffswrack kommen und dann bist du am Ziel.
10142162;Liebe Kinder der Weg zum meinen Schatz ist bis zum Mammutbaum dann zu der Kanus danach zum Wald voller Wölfe. Dann liegt der Schlüssel in der Drachenhöhle. Und an der Steinenge vorbei zum Zelt an der Küste und da ist der Schatz.
10142172;Der Schatz ist auf einer Insel vergraben. Du musst zur Schildkrötenbucht fahren. Dann musst du an Land gehen und musst links an dem Mammutbaum vorbeigehen. Dann musst du weiter geradeaus bis du zum Wald kommst da musst du vorbei gehen, dann musst du zur Drachenhöhle gehen da ist ein Felsen da drauf liegt der Schlüssel zum Schatz. Dann musst du links am Wegweiser rechts vorbei gehen dann rechts an der Steinenge vorbei. Dann musst du an den Zelten vorbei. Dann musst du rechts abbiegen und dann bist du bei dem Schatz.
10142182;Strandet an der Schildkrötenbucht. Geht an dem Mammutbaum der östlich von euch ist vorbei. Nehmt nicht die rechte Gabelung, sondern folgt dem Weg. Wenn ihr bis zu den Kanus gelaufen seid, holt euch eines und überquert den See. Biegt rechts ab, aber fahrt nicht in den Wald voller Wölfe. Er soll westlich von euch sein. Geht bis zum Wegweiser und lauft rechts in die Drachenhöhle. Holt euch dort den Schlüssel und geht zurück zum Wegweiser. Biegt irgendwann bei der Steinenge links ab und lauft am Bootssteg vorbei. Biegt rechts ab, dann ist der Schatz euer Eigentum. Links seht ihr noch das alte Schiffswrack.
10142192;Du steigst an der Schildkrötenbucht aus. Dann gehst du durch einen Wald bis zum Mammutbaum. Dort biegst du nach rechts ab und du müsstest am Kanus sein. Danach kommst du am weißen Sandstrand vorbei. Am Wald voller Wölfe gehst du nach links. Da gehst du geradeaus und kommst an einen Wegweiser. Dort gehst du zur Drachenhöhle und wieder zurück. Dort biegst du rechts ab und müsstest am Steinenge links abbiegen. Du kommst am Zelt vorbei und biegst da ab.
10142202;Der Schatz ist auf einer einsamen Insel auf einem weitem Meer. Die Schildkrötenbucht liegt südlich und ist der Startpunkt. Da geht man die linke Kurve an einem kleinen Wald vorbei. Dann kommt ein großer Baum der Mammutbaum da vorbei und über den Fluss bei den Kanus. Am Wald voller Wölfe vorbei und geradeaus. Am Wegweiser nach rechts zur Drachenhöhle dort liegt der Schlüssel und wieder zum Wegweiser. Danach zur Steinenge und die Kurve nach links nehmen am Zelt vorbei und dann ein bisschen hinter dem Zelt abbiegen in die Bucht dort ist der Schatz.
10142212;Du steigst zuerst zu der Schildkrötenbucht im Süden danach gehst du geradeaus zum Mammutbaum und an dem Mammutbaum biegst du nach links ab zu den Kanus und gehst dann geradeaus zum Wald voller Wölfe. Wenn du dort angelangt bist, gehst du nach rechts zum Wegweiser. Beim Wegweiser gehst du nach rechts zur Drachenhöhle wo der Schlüssel versteckt ist. Nachdem du den Schlüssel gefunden hast gehst du wieder zum Wegweiser und danach geradeaus zu der Steinenge. Dort biegst du nach links ab zum Zelt. Danach gehst du zum Schiffswrack wo der Schatz vergraben liegt.
10142222;Du musst an die Schildkrötenbucht ankommen, wenn du angekommen bist gehst du auf die Insel und gehst nach links du gehst über den Kanus Fluss und gehst nach rechts und du gehst an dem Wald voller Wölfen vorbei und du kommst an den Wegweiser an und gehst in die Drachenhöhle und gräbst den Eingang da findest du den Schlüssel du gehst wieder raus und gehst nach rechts du siehst die Steinenge du kletterst über die Steine und gehst an den Zelt vorbei nach dem Zelt siehst du zwei große Steine auf dem Boden liegen du gräbst da wo die zwei Steine sind nachdem du den Schatz gefunden hast kannst du den aufschließen und als reicher Pirat leben.
10142232;Ihr müsst in der Schildkrötenbucht ankern (im Süden) dann westlich gehen bis zur Rechtsabbiegung. Kurz danach kommt eine Kreuzung mit dem Mammutbaum links. Mit den Kanus musst du dann über den Fluss. Und dann kommt die Kreuzung wo du rechts musst und aufpassen auf den Wald voller Wölfe. Dann rechts zur Drachenhöhle und da ist der Schlüssel vergraben. Wenn du den Schlüssel hast aus Höhle raus und dann nochmal rechts bis zur Steinenge. Und dann links bis zu den Zelten und da ist der Strand wo der Schatz vergraben ist.
10142242;Hallo liebe Piraten Ich helfe euch den Schatz zu finden. Zuerst müsst ihr an der Schildkrötenbucht vorbei. Danach müsst ihr bei dem Mammutbaum vorbei. Aber jetzt müsst ihr bei den Kanus vorbei. Wenn da vorbeigesegelt seid, müsst ihr am Wald voller Wölfe vorbei. Dann an den Wegweiser vorbei. Jetzt müsst ihr aufpassen denn jetzt seid ihr in der Drachenhöhle um den Schlüssel zu holen. Jetzt müsst ihr an den
10142252;Zuerst vierzig Meter nach Westen, dann kannst du den Mammutbaum sehen. In vierzig Meter nach Westen musst du mit den Kanus über den Fluss schwimmen dann musst du fünfzig Meter nach Westen und dann musst du hundert Meter nach Norden damit du zur Drachenhöhle kommst dann musst du den Schlüssel suchen. Dann musst
10142262;Erst muss man zuerst an dem Mammutbaum vorbei dann überquerst du den Kanus. Ihr müsst dann zum Wegweiser laufen nach Osten rein zu der Drachenhöhle da ist der Schlüssel. Ihr müsst aufpassen die Steinengen sind sehr eng. Weiter geht es zum Zelt noch ein Stückchen weiter dann bist du beim Schatz wenn du das Zeichen X siehst heißt es du hast den Schatz gefunden.
10261012;Es fängt am Wald an und durch den Fluss zur Drachenhöhle an den Häuser vorbei am Zelt vorbei an das versunkene Schiff da liegt der Schatz.
10261022;Ihr geht zuerst an der Schildkrötenbucht vorbei und dann zum Mammutbaum. Wenn ihr am Mammutbaum angekommen seid geht ihr links zu den Kanus und schwimmt mit ihnen rüber. Ihr geht dann geradeaus und geht dann rechts den Weg rein bis zur Wegweisung. Danach geht ihr zur Drachenhöhle und holt den Schlüssel für den Schatz. Dann biegt ihr wieder rechts zur Steinenge und klettert über die Steine und geht dann wieder geradeaus, und dort seht ihr ein Zelt. Und daneben ist ein Schiffswrack und dort ist der Schatz vergraben.
10261032;Als erstes müsst ihr links am Wald vorbei gehen vor euch steht ein Mammutbaum da müsst ihr links. Ihr müsst jetzt mit den Kanus über den Fluss dann rechts die scharfe Kurve lang bei dem Wald voller Wölfe vorbei beim Wegweiser rechts und direkt links in die Drachenhöhle das liegt der Schlüssel ihr geht wieder raus und geht rechts zu der Steinenge ihr müsst da irgendwie durch bei den Zelt vorbei dann rechts rein und da ist der Schatz.
